elec_date,county,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner,unused
11/5/2024,ADAIR,ADAIR COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,17,17,1,CHASE OLIVER | MIKE TER MAAT,LIB,0,4,16,20,,
11/5/2024,BECKHAM,BECKHAM COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,12,12,5,CHRIS GARRITY | CODY BALLARD,IND,0,6,8,14,,
11/5/2024,BLAINE,BLAINE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,1,CHASE OLIVER | MIKE TER MAAT,LIB,0,1,8,9,,
11/5/2024,BLAINE,BLAINE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,2,DONALD J. TRUMP | JD VANCE,REP,92,554,2408,3054,,
11/5/2024,BLAINE,BLAINE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,3,KAMALA D. HARRIS | TIM WALZ,DEM,26,107,538,671,,
11/5/2024,BLAINE,BLAINE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,0,3,41,44,,
11/5/2024,BLAINE,BLAINE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,5,CHRIS GARRITY | CODY BALLARD,IND,1,0,7,8,,
11/5/2024,BRYAN,BRYAN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,25,25,1,CHASE OLIVER | MIKE TER MAAT,LIB,4,11,49,64,,
11/5/2024,BRYAN,BRYAN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,25,25,2,DONALD J. TRUMP | JD VANCE,REP,348,2717,10934,13999,,
11/5/2024,BRYAN,BRYAN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,25,25,3,KAMALA D. HARRIS | TIM WALZ,DEM,243,805,2521,3569,,
11/5/2024,BRYAN,BRYAN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,25,25,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,2,19,124,145,,
11/5/2024,BRYAN,BRYAN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,25,25,5,CHRIS GARRITY | CODY BALLARD,IND,2,4,29,35,,
11/5/2024,CADDO,CADDO COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,14,14,1,CHASE OLIVER | MIKE TER MAAT,LIB,3,7,42,52,,
11/5/2024,CADDO,CADDO COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,14,14,2,DONALD J. TRUMP | JD VANCE,REP,182,1023,5681,6886,,
11/5/2024,CADDO,CADDO COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,14,14,3,KAMALA D. HARRIS | TIM WALZ,DEM,113,399,1902,2414,,
11/5/2024,CADDO,CADDO COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,14,14,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,2,8,101,111,,
11/5/2024,CADDO,CADDO COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,14,14,5,CHRIS GARRITY | CODY BALLARD,IND,2,7,24,33,,
11/5/2024,CANADIAN,CANADIAN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,60,60,1,CHASE OLIVER | MIKE TER MAAT,LIB,36,59,357,452,,
11/5/2024,CANADIAN,CANADIAN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,60,60,2,DONALD J. TRUMP | JD VANCE,REP,3264,12522,34765,50551,,
11/5/2024,CANADIAN,CANADIAN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,60,60,3,KAMALA D. HARRIS | TIM WALZ,DEM,2575,4827,13636,21038,,
11/5/2024,CANADIAN,CANADIAN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,60,60,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,56,95,624,775,,
11/5/2024,CANADIAN,CANADIAN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,60,60,5,CHRIS GARRITY | CODY BALLARD,IND,24,32,202,258,,
11/5/2024,CARTER,CARTER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,28,28,1,CHASE OLIVER | MIKE TER MAAT,LIB,3,12,49,64,,
11/5/2024,CARTER,CARTER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,28,28,2,DONALD J. TRUMP | JD VANCE,REP,419,4372,10154,14945,,
11/5/2024,CARTER,CARTER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,28,28,3,KAMALA D. HARRIS | TIM WALZ,DEM,308,1359,2610,4277,,
11/5/2024,CARTER,CARTER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,28,28,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,6,26,128,160,,
11/5/2024,CARTER,CARTER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,28,28,5,CHRIS GARRITY | CODY BALLARD,IND,4,8,30,42,,
11/5/2024,CHEROKEE,CHEROKEE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,29,29,1,CHASE OLIVER | MIKE TER MAAT,LIB,5,10,60,75,,
11/5/2024,CHEROKEE,CHEROKEE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,29,29,2,DONALD J. TRUMP | JD VANCE,REP,419,2666,8552,11637,,
11/5/2024,CHEROKEE,CHEROKEE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,29,29,3,KAMALA D. HARRIS | TIM WALZ,DEM,364,1718,3744,5826,,
11/5/2024,CHEROKEE,CHEROKEE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,29,29,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,9,21,185,215,,
11/5/2024,CHEROKEE,CHEROKEE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,29,29,5,CHRIS GARRITY | CODY BALLARD,IND,3,12,55,70,,
11/5/2024,CHOCTAW,CHOCTAW COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,11,11,1,CHASE OLIVER | MIKE TER MAAT,LIB,4,9,13,26,,
11/5/2024,CHOCTAW,CHOCTAW COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,11,11,2,DONALD J. TRUMP | JD VANCE,REP,90,1532,3011,4633,,
11/5/2024,CHOCTAW,CHOCTAW COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,11,11,3,KAMALA D. HARRIS | TIM WALZ,DEM,56,280,608,944,,
11/5/2024,CHOCTAW,CHOCTAW COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,11,11,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,0,8,19,27,,
11/5/2024,CHOCTAW,CHOCTAW COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,11,11,5,CHRIS GARRITY | CODY BALLARD,IND,2,1,6,9,,
11/5/2024,CIMARRON,CIMARRON COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,6,6,1,CHASE OLIVER | MIKE TER MAAT,LIB,0,0,0,0,,
11/5/2024,CIMARRON,CIMARRON COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,6,6,2,DONALD J. TRUMP | JD VANCE,REP,32,355,473,860,,
11/5/2024,CIMARRON,CIMARRON COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,6,6,3,KAMALA D. HARRIS | TIM WALZ,DEM,5,22,39,66,,
11/5/2024,CIMARRON,CIMARRON COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,6,6,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,0,3,3,6,,
11/5/2024,CIMARRON,CIMARRON COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,6,6,5,CHRIS GARRITY | CODY BALLARD,IND,0,1,2,3,,
11/5/2024,CLEVELAND,CLEVELAND COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,105,105,1,CHASE OLIVER | MIKE TER MAAT,LIB,83,116,669,868,,
11/5/2024,CLEVELAND,CLEVELAND COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,105,105,2,DONALD J. TRUMP | JD VANCE,REP,4516,19061,43648,67225,,
11/5/2024,CLEVELAND,CLEVELAND COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,105,105,3,KAMALA D. HARRIS | TIM WALZ,DEM,5875,13987,29570,49432,,
11/5/2024,CLEVELAND,CLEVELAND COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,105,105,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,88,188,1015,1291,,
11/5/2024,CLEVELAND,CLEVELAND COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,105,105,5,CHRIS GARRITY | CODY BALLARD,IND,48,77,353,478,,
11/5/2024,COAL,COAL COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,1,CHASE OLIVER | MIKE TER MAAT,LIB,0,2,1,3,,
11/5/2024,COAL,COAL COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,2,DONALD J. TRUMP | JD VANCE,REP,34,732,1389,2155,,
11/5/2024,COAL,COAL COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,3,KAMALA D. HARRIS | TIM WALZ,DEM,8,102,235,345,,
11/5/2024,COAL,COAL COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,0,6,22,28,,
11/5/2024,COAL,COAL COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,5,CHRIS GARRITY | CODY BALLARD,IND,0,1,6,7,,
11/5/2024,COMANCHE,COMANCHE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,40,40,1,CHASE OLIVER | MIKE TER MAAT,LIB,8,22,157,187,,
11/5/2024,COMANCHE,COMANCHE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,40,40,2,DONALD J. TRUMP | JD VANCE,REP,1018,3723,16082,20823,,
11/5/2024,COMANCHE,COMANCHE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,40,40,3,KAMALA D. HARRIS | TIM WALZ,DEM,1176,3194,8453,12823,,
11/5/2024,COMANCHE,COMANCHE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,40,40,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,12,31,309,352,,
11/5/2024,COMANCHE,COMANCHE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,40,40,5,CHRIS GARRITY | CODY BALLARD,IND,9,13,77,99,,
11/5/2024,COTTON,COTTON COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,1,CHASE OLIVER | MIKE TER MAAT,LIB,0,3,3,6,,
11/5/2024,COTTON,COTTON COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,2,DONALD J. TRUMP | JD VANCE,REP,37,631,1399,2067,,
11/5/2024,COTTON,COTTON COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,3,KAMALA D. HARRIS | TIM WALZ,DEM,15,123,254,392,,
11/5/2024,COTTON,COTTON COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,0,11,20,31,,
11/5/2024,COTTON,COTTON COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,5,CHRIS GARRITY | CODY BALLARD,IND,0,1,9,10,,
11/5/2024,CRAIG,CRAIG COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,13,13,1,CHASE OLIVER | MIKE TER MAAT,LIB,1,4,15,20,,
11/5/2024,CRAIG,CRAIG COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,13,13,2,DONALD J. TRUMP | JD VANCE,REP,110,970,3660,4740,,
11/5/2024,CRAIG,CRAIG COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,13,13,3,KAMALA D. HARRIS | TIM WALZ,DEM,69,280,863,1212,,
11/5/2024,CRAIG,CRAIG COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,13,13,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,4,10,50,64,,
11/5/2024,CRAIG,CRAIG COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,13,13,5,CHRIS GARRITY | CODY BALLARD,IND,2,3,15,20,,
11/5/2024,CREEK,CREEK COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,35,35,1,CHASE OLIVER | MIKE TER MAAT,LIB,7,16,124,147,,
11/5/2024,CREEK,CREEK COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,35,35,2,DONALD J. TRUMP | JD VANCE,REP,693,3842,19563,24098,,
11/5/2024,CREEK,CREEK COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,35,35,3,KAMALA D. HARRIS | TIM WALZ,DEM,559,1170,4914,6643,,
11/5/2024,CREEK,CREEK COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,35,35,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,4,25,301,330,,
11/5/2024,CREEK,CREEK COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,35,35,5,CHRIS GARRITY | CODY BALLARD,IND,11,7,76,94,,
11/5/2024,CUSTER,CUSTER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,12,12,1,CHASE OLIVER | MIKE TER MAAT,LIB,3,2,42,47,,
11/5/2024,CUSTER,CUSTER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,12,12,2,DONALD J. TRUMP | JD VANCE,REP,311,1771,5611,7693,,
11/5/2024,CUSTER,CUSTER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,12,12,3,KAMALA D. HARRIS | TIM WALZ,DEM,162,517,1600,2279,,
11/5/2024,CUSTER,CUSTER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,12,12,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,6,17,97,120,,
11/5/2024,CUSTER,CUSTER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,12,12,5,CHRIS GARRITY | CODY BALLARD,IND,5,5,19,29,,
11/5/2024,DELAWARE,DELAWARE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,18,18,1,CHASE OLIVER | MIKE TER MAAT,LIB,3,6,50,59,,
11/5/2024,DELAWARE,DELAWARE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,18,18,2,DONALD J. TRUMP | JD VANCE,REP,562,2705,11140,14407,,
11/5/2024,DELAWARE,DELAWARE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,18,18,3,KAMALA D. HARRIS | TIM WALZ,DEM,324,675,2476,3475,,
11/5/2024,DELAWARE,DELAWARE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,18,18,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,10,8,111,129,,
11/5/2024,DELAWARE,DELAWARE COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,18,18,5,CHRIS GARRITY | CODY BALLARD,IND,2,3,33,38,,
11/5/2024,DEWEY,DEWEY COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,1,CHASE OLIVER | MIKE TER MAAT,LIB,1,0,1,2,,
11/5/2024,DEWEY,DEWEY COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,2,DONALD J. TRUMP | JD VANCE,REP,71,258,1655,1984,,
11/5/2024,DEWEY,DEWEY COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,3,KAMALA D. HARRIS | TIM WALZ,DEM,27,25,157,209,,
11/5/2024,DEWEY,DEWEY COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,0,2,14,16,,
11/5/2024,DEWEY,DEWEY COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,9,9,5,CHRIS GARRITY | CODY BALLARD,IND,0,2,2,4,,
11/5/2024,ELLIS,ELLIS COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,1,CHASE OLIVER | MIKE TER MAAT,LIB,0,1,14,15,,
11/5/2024,ELLIS,ELLIS COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,2,DONALD J. TRUMP | JD VANCE,REP,51,294,1240,1585,,
11/5/2024,ELLIS,ELLIS COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,3,KAMALA D. HARRIS | TIM WALZ,DEM,16,35,146,197,,
11/5/2024,ELLIS,ELLIS COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,1,3,6,10,,
11/5/2024,ELLIS,ELLIS COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,5,CHRIS GARRITY | CODY BALLARD,IND,0,1,4,5,,
11/5/2024,GARFIELD,GARFIELD COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,29,29,1,CHASE OLIVER | MIKE TER MAAT,LIB,9,13,87,109,,
11/5/2024,GARFIELD,GARFIELD COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,29,29,2,DONALD J. TRUMP | JD VANCE,REP,666,3124,12803,16593,,
11/5/2024,GARFIELD,GARFIELD COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,29,29,3,KAMALA D. HARRIS | TIM WALZ,DEM,446,1032,3371,4849,,
11/5/2024,GARFIELD,GARFIELD COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,29,29,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,6,17,209,232,,
11/5/2024,GARFIELD,GARFIELD COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,29,29,5,CHRIS GARRITY | CODY BALLARD,IND,5,7,49,61,,
11/5/2024,GARVIN,GARVIN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,17,17,1,CHASE OLIVER | MIKE TER MAAT,LIB,1,6,27,34,,
11/5/2024,GARVIN,GARVIN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,17,17,2,DONALD J. TRUMP | JD VANCE,REP,238,1956,6869,9063,,
11/5/2024,GARVIN,GARVIN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,17,17,3,KAMALA D. HARRIS | TIM WALZ,DEM,97,453,1252,1802,,
11/5/2024,GARVIN,GARVIN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,17,17,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,4,10,62,76,,
11/5/2024,GARVIN,GARVIN COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,17,17,5,CHRIS GARRITY | CODY BALLARD,IND,0,5,11,16,,
11/5/2024,GRADY,GRADY COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,28,28,1,CHASE OLIVER | MIKE TER MAAT,LIB,11,17,74,102,,
11/5/2024,GRADY,GRADY COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,28,28,2,DONALD J. TRUMP | JD VANCE,REP,889,3302,16187,20378,,
11/5/2024,GRADY,GRADY COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,28,28,3,KAMALA D. HARRIS | TIM WALZ,DEM,447,758,3331,4536,,
11/5/2024,GRADY,GRADY COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,28,28,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,10,19,182,211,,
11/5/2024,GRADY,GRADY COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,28,28,5,CHRIS GARRITY | CODY BALLARD,IND,6,1,49,56,,
11/5/2024,GRANT,GRANT COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,1,CHASE OLIVER | MIKE TER MAAT,LIB,0,0,6,6,,
11/5/2024,GRANT,GRANT COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,2,DONALD J. TRUMP | JD VANCE,REP,58,255,1481,1794,,
11/5/2024,GRANT,GRANT COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,3,KAMALA D. HARRIS | TIM WALZ,DEM,18,47,230,295,,
11/5/2024,GRANT,GRANT COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,1,6,17,24,,
11/5/2024,GRANT,GRANT COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,5,CHRIS GARRITY | CODY BALLARD,IND,0,3,3,6,,
11/5/2024,GREER,GREER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,6,6,1,CHASE OLIVER | MIKE TER MAAT,LIB,0,1,1,2,,
11/5/2024,GREER,GREER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,6,6,2,DONALD J. TRUMP | JD VANCE,REP,25,431,1055,1511,,
